カテゴリ,施設名,住所,緯度,経度,リンク
"保育園","割野こども園","
〒950-0321 新潟県新潟市江南区割野２０９２−３ 同朋福祉協会割野保育園","37.8398807","139.0910288","https://www.google.com/maps/place/%E5%89%B2%E9%87%8E%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4cf9c44ac22cf:0x77e803664cb22b86!8m2!3d37.8398807!4d139.0910288!16s%2Fg%2F1v6qhgck!19sChIJzyKsRJzP9F8RhiuyTGYD6Hc?authuser=0&hl=ja&rclk=1"
"保育園","くろとりこども園","
〒950-1123 新潟県新潟市西区黒鳥５９１６","37.8516345","138.9770473","https://www.google.com/maps/place/%E3%81%8F%E3%82%8D%E3%81%A8%E3%82%8A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c65fb8db18c9:0xd2381a2798c24f6d!8m2!3d37.8516345!4d138.9770473!16s%2Fg%2F1tdr80d9!19sChIJyRjbuF_G9F8RbU_CmCcaONI?authuser=0&hl=ja&rclk=1"
"保育園","しなの保育園","
〒951-8152 新潟県新潟市中央区信濃町１９−２０ 市立しなの保育園","37.9097111","139.0120762","https://www.google.com/maps/place/%E3%81%97%E3%81%AA%E3%81%AE%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x5ff4c832e9f2ea57:0xcc7c6fc0fac01816!8m2!3d37.9097111!4d139.0120762!16s%2Fg%2F1tgx6ftz!19sChIJV-ry6TLI9F8RFhjA-sBvfMw?authuser=0&hl=ja&rclk=1"
"保育園","新潟認定こども園","
〒951-8133 新潟県新潟市中央区川岸町３丁目","37.9094096","139.0259528","https://www.google.com/maps/place/%E6%96%B0%E6%BD%9F%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c9c92daa38b7:0x23374c1847fb75e2!8m2!3d37.9094096!4d139.0259528!16s%2Fg%2F1tgdnd7n!19sChIJtziqLcnJ9F8R4nX7RxhMNyM?authuser=0&hl=ja&rclk=1"
"保育園","こどものいえこども園","
〒950-0952 新潟県新潟市中央区親松１０１−１ こどものいえ保育園","37.8799504","139.0288415","https://www.google.com/maps/place/%E3%81%93%E3%81%A9%E3%82%82%E3%81%AE%E3%81%84%E3%81%88%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c892e94ec821:0x7d7390a69f02b1c4!8m2!3d37.8799504!4d139.0288415!16s%2Fg%2F1tgvdgq8!19sChIJIchO6ZLI9F8RxLECn6aQc30?authuser=0&hl=ja&rclk=1"
"保育園","関屋保育園","
〒951-8164 新潟県新潟市中央区関屋昭和町３丁目１４５ （一財）和田徳伝会関屋保育園","37.9091354","139.018395","https://www.google.com/maps/place/%E9%96%A2%E5%B1%8B%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x5ff4c9cb623aa8af:0x9712133170f9c11d!8m2!3d37.9091354!4d139.018395!16s%2Fg%2F1td71vfd!19sChIJr6g6YsvJ9F8RHcH5cDETEpc?authuser=0&hl=ja&rclk=1"
"保育園","幼保連携型こやす認定こども園","
〒950-0073 新潟県新潟市中央区日の出１丁目１４−２３","37.9192363","139.0725003","https://www.google.com/maps/place/%E5%B9%BC%E4%BF%9D%E9%80%A3%E6%90%BA%E5%9E%8B%E3%81%93%E3%82%84%E3%81%99%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4ca27c730e9dd:0x12458ae42da479b9!8m2!3d37.9192363!4d139.0725003!16s%2Fg%2F1tcy445s!19sChIJ3ekwxyfK9F8RuXmkLeSKRRI?authuser=0&hl=ja&rclk=1"
"保育園","笹口こども園","
〒950-0912 新潟県新潟市中央区南笹口１丁目８−５７ 公和会笹口保育園","37.9085254","139.0659018","https://www.google.com/maps/place/%E7%AC%B9%E5%8F%A3%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c99c54d8b49b:0x661ea391c841372f!8m2!3d37.9085254!4d139.0659018!16s%2Fg%2F1wnbxw3y!19sChIJm7TYVJzJ9F8RLzdByJGjHmY?authuser=0&hl=ja&rclk=1"
"保育園","紫竹山こども園","
〒950-0914 新潟県新潟市中央区紫竹山２丁目３−５","37.9024818","139.0683287","https://www.google.com/maps/place/%E7%B4%AB%E7%AB%B9%E5%B1%B1%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c973808b2995:0x2377338ec55fe34d!8m2!3d37.9024818!4d139.0683287!16s%2Fg%2F1tdyfgqq!19sChIJlSmLgHPJ9F8RTeNfxY4zdyM?authuser=0&hl=ja&rclk=1"
"保育園","幼保連携型うまこしこやす認定こども園","
〒950-0865 新潟県新潟市中央区本馬越２丁目９−１４","37.91113","139.0749925","https://www.google.com/maps/place/%E5%B9%BC%E4%BF%9D%E9%80%A3%E6%90%BA%E5%9E%8B%E3%81%86%E3%81%BE%E3%81%93%E3%81%97%E3%81%93%E3%82%84%E3%81%99%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x5ff4c9821ff08b6b:0xd5e6b2486aab508c!8m2!3d37.91113!4d139.0749925!16s%2Fg%2F1tcwftsg!19sChIJa4vwH4LJ9F8RjFCrakiy5tU?authuser=0&hl=ja&rclk=1"
