カテゴリ,施設名,住所,緯度,経度,リンク
"保育園","県央の杜保育園","
〒319-0111 茨城県小美玉市中野谷５６５ クオリティ・オブ・ライフ 内","36.2210143","140.33111","https://www.google.com/maps/place/%E7%9C%8C%E5%A4%AE%E3%81%AE%E6%9D%9C%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60221615c9cf19cf:0x88d2e1111c24e961!8m2!3d36.2210143!4d140.33111!16s%2Fg%2F11h71tbrd3!19sChIJzxnPyRUWImARYekkHBHh0og?authuser=0&hl=ja&rclk=1"
"保育園","いばらき中央認定こども園","
〒311-3131 茨城県東茨城郡茨城町小堤９９０","36.2848581","140.4239324","https://www.google.com/maps/place/%E3%81%84%E3%81%B0%E3%82%89%E3%81%8D%E4%B8%AD%E5%A4%AE%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x60223c84f6296545:0x124c7f58baebd303!8m2!3d36.2848581!4d140.4239324!16s%2Fg%2F11xh8p8jx!19sChIJRWUp9oQ8ImARA9Prulh_TBI?authuser=0&hl=ja&rclk=1"
"保育園","認定こども園真壁保育園","
〒300-4407 茨城県桜川市真壁町古城４５","36.2778147","140.1037337","https://www.google.com/maps/place/%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92%E7%9C%9F%E5%A3%81%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x602203e0f4270787:0x11409bdc9f9c53e5!8m2!3d36.2778147!4d140.1037337!16s%2Fg%2F1tdqbpfp!19sChIJhwcn9OADImAR5VOcn9ybQBE?authuser=0&hl=ja&rclk=1"
"保育園","ひぬま保育園","
〒311-3116 茨城県東茨城郡茨城町長岡３６５２−２２","36.3025712","140.4512708","https://www.google.com/maps/place/%E3%81%B2%E3%81%AC%E3%81%BE%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60223b6b5453b403:0x13b1bd7c76572cf9!8m2!3d36.3025712!4d140.4512708!16s%2Fg%2F1wk7qzmq!19sChIJA7RTVGs7ImAR-SxXdny9sRM?authuser=0&hl=ja&rclk=1"
"保育園","すずらん保育園","
〒311-3422 茨城県小美玉市中延７８２−２","36.1835851","140.360664","https://www.google.com/maps/place/%E3%81%99%E3%81%9A%E3%82%89%E3%82%93%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60223e32304dd1fb:0x7686a0a5c8d09b42!8m2!3d36.1835851!4d140.360664!16s%2Fg%2F1wrtczgf!19sChIJ-9FNMDI-ImARQpvQyKWghnY?authuser=0&hl=ja&rclk=1"
"保育園","そとの保育園","
〒315-0031 茨城県石岡市東大橋１６３９−２","36.1958267","140.3135768","https://www.google.com/maps/place/%E3%81%9D%E3%81%A8%E3%81%AE%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x602215d65c943e57:0x1fcb6437968778fa!8m2!3d36.1958267!4d140.3135768!16s%2Fg%2F1tdkgrs_!19sChIJVz6UXNYVImAR-niHljdkyx8?authuser=0&hl=ja&rclk=1"
"保育園","「こころの花」ことり保育園","
〒301-0034 茨城県龍ケ崎市小通幸谷町３０−２","35.924709","140.129094","https://www.google.com/maps/place/%E3%80%8C%E3%81%93%E3%81%93%E3%82%8D%E3%81%AE%E8%8A%B1%E3%80%8D%E3%81%93%E3%81%A8%E3%82%8A%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x602270ecfe7d2dfd:0x6c8f13ecae03bb31!8m2!3d35.924709!4d140.129094!16s%2Fg%2F1th7yg69!19sChIJ_S19_uxwImARMbsDruwTj2w?authuser=0&hl=ja&rclk=1"
"保育園","かしわノ木保育園","
〒310-0024 茨城県水戸市備前町３−３８","36.3750158","140.4640955","https://www.google.com/maps/place/%E3%81%8B%E3%81%97%E3%82%8F%E3%83%8E%E6%9C%A8%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60222546cd001fd5:0x7fe7346ec42ccc77!8m2!3d36.3750158!4d140.4640955!16s%2Fg%2F11fjqjkz_3!19sChIJ1R8AzUYlImARd8wsxG40538?authuser=0&hl=ja&rclk=1"
"保育園","学園の森どろんこ保育園","
〒300-2633 茨城県つくば市遠東１００７","36.093342","140.0710367","https://www.google.com/maps/place/%E5%AD%A6%E5%9C%92%E3%81%AE%E6%A3%AE%E3%81%A9%E3%82%8D%E3%82%93%E3%81%93%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60220bdabc3cff21:0x5d920238c9e68119!8m2!3d36.093342!4d140.0710367!16s%2Fg%2F11ggz4f409!19sChIJIf88vNoLImARGYHmyTgCkl0?authuser=0&hl=ja&rclk=1"
"保育園","飯沼こども園","
〒311-3153 茨城県東茨城郡茨城町上飯沼１２７６−１","36.290738","140.381857","https://www.google.com/maps/place/%E9%A3%AF%E6%B2%BC%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x60223d2f0709fb4b:0x859995d6ded0b4f2!8m2!3d36.290738!4d140.381857!16s%2Fg%2F1tdn8snv!19sChIJS_sJBy89ImAR8rTQ3taVmYU?authuser=0&hl=ja&rclk=1"
"保育園","守谷どろんこ保育園","
〒302-0116 茨城県守谷市大柏１００１−１","35.9497258","139.9786926","https://www.google.com/maps/place/%E5%AE%88%E8%B0%B7%E3%81%A9%E3%82%8D%E3%82%93%E3%81%93%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60189f5886e626d3:0xcb1bf20688c6836c!8m2!3d35.9497258!4d139.9786926!16s%2Fg%2F11qqp23y64!19sChIJ0ybmhlifGGARbIPGiAbyG8s?authuser=0&hl=ja&rclk=1"
"保育園","つくば保育園","
〒307-0053 茨城県結城市新福寺２丁目８−１","36.2928105","139.8681043","https://www.google.com/maps/place/%E3%81%A4%E3%81%8F%E3%81%B0%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x601f526cfab27597:0x8fd3c030226bbb94!8m2!3d36.2928105!4d139.8681043!16s%2Fg%2F1thf8npd!19sChIJl3Wy-mxSH2ARlLtrIjDA048?authuser=0&hl=ja&rclk=1"
"保育園","つくばどろんこ保育園","
〒305-0813 茨城県つくば市下平塚８４５−１","36.091402","140.0908605","https://www.google.com/maps/place/%E3%81%A4%E3%81%8F%E3%81%B0%E3%81%A9%E3%82%8D%E3%82%93%E3%81%93%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60220bf2a90276f7:0xf2634250704a1b08!8m2!3d36.091402!4d140.0908605!16s%2Fg%2F11cn78rmm3!19sChIJ93YCqfILImARCBtKcFBCY_I?authuser=0&hl=ja&rclk=1"
"保育園","もろかわ認定こども園","
〒306-0126 茨城県古河市諸川１７７９−３","36.2032134","139.807543","https://www.google.com/maps/place/%E3%82%82%E3%82%8D%E3%81%8B%E3%82%8F%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92/data=!4m7!3m6!1s0x6018b324393c5757:0x3e8badeec2139524!8m2!3d36.2032134!4d139.807543!16s%2Fg%2F1tpc7zwh!19sChIJV1c8OSSzGGARJJUTwu6tiz4?authuser=0&hl=ja&rclk=1"
"保育園","ほうとく保育園","
〒311-4153 茨城県水戸市河和田町３９６１","36.3515895","140.4035807","https://www.google.com/maps/place/%E3%81%BB%E3%81%86%E3%81%A8%E3%81%8F%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x602223a4c713d275:0xfba46fae21167ac2!8m2!3d36.3515895!4d140.4035807!16s%2Fg%2F1th5cp6h!19sChIJddITx6QjImARwnoWIa5vpPs?authuser=0&hl=ja&rclk=1"
"保育園","すずらん保育園","
〒310-0813 茨城県水戸市浜田町４４３−１","36.369999","140.5021942","https://www.google.com/maps/place/%E3%81%99%E3%81%9A%E3%82%89%E3%82%93%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x6022256f6ea6707b:0x8baafda14a35c7f8!8m2!3d36.369999!4d140.5021942!16s%2Fg%2F11bwq6gqmt!19sChIJe3Cmbm8lImAR-Mc1SqH9qos?authuser=0&hl=ja&rclk=1"
"保育園","吉沼保育園","
〒300-2617 茨城県つくば市吉沼１１１０","36.1440221","140.0139073","https://www.google.com/maps/place/%E5%90%89%E6%B2%BC%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x6018a7fa279ee9bd:0xc2fbd6651570ff81!8m2!3d36.1440221!4d140.0139073!16s%2Fg%2F1tt1sp_v!19sChIJvemeJ_qnGGARgf9wFWXW-8I?authuser=0&hl=ja&rclk=1"
"保育園","学校法人川島学園 都和保育園","
〒300-0061 茨城県土浦市並木２丁目８−４","36.1099624","140.1924667","https://www.google.com/maps/place/%E5%AD%A6%E6%A0%A1%E6%B3%95%E4%BA%BA%E5%B7%9D%E5%B3%B6%E5%AD%A6%E5%9C%92+%E9%83%BD%E5%92%8C%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x602212863919b4b9:0xf4109695b448d324!8m2!3d36.1099624!4d140.1924667!16s%2Fg%2F1tcw88rd!19sChIJubQZOYYSImARJNNItJWWEPQ?authuser=0&hl=ja&rclk=1"
"保育園","のぎく保育園","
〒310-0841 茨城県水戸市酒門町５０３８","36.3594492","140.4998874","https://www.google.com/maps/place/%E3%81%AE%E3%81%8E%E3%81%8F%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60222543bc78cb2d:0xf1074ed7706a21d5!8m2!3d36.3594492!4d140.4998874!16s%2Fg%2F1tngqd7c!19sChIJLct4vEMlImAR1SFqcNdOB_E?authuser=0&hl=ja&rclk=1"
"保育園","学園みらい保育園","
〒305-0833 茨城県つくば市島３０７ 社会福祉法人 四季の会 学園みらい保育園","36.0671322","140.0862888","https://www.google.com/maps/place/%E5%AD%A6%E5%9C%92%E3%81%BF%E3%82%89%E3%81%84%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60220baf3a68a391:0x2f22fa5677e82061!8m2!3d36.0671322!4d140.0862888!16s%2Fg%2F11g__qvm44!19sChIJkaNoOq8LImARYSDod1b6Ii8?authuser=0&hl=ja&rclk=1"
"保育園","社福)やはた福祉会 認定こども園 大宝保育園","
〒304-0022 茨城県下妻市大宝７２５−１","36.205011","139.972203","https://www.google.com/maps/place/%E7%A4%BE%E7%A6%8F%29%E3%82%84%E3%81%AF%E3%81%9F%E7%A6%8F%E7%A5%89%E4%BC%9A+%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92+%E5%A4%A7%E5%AE%9D%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x6018a97c18b9f147:0x3d08f32028df3bfa!8m2!3d36.205011!4d139.972203!16s%2Fg%2F1tnsrydx!19sChIJR_G5GHypGGAR-jvfKCDzCD0?authuser=0&hl=ja&rclk=1"
"保育園","白帆保育園","
〒300-0821 茨城県土浦市蓮河原新町８−３０","36.0718092","140.2065964","https://www.google.com/maps/place/%E7%99%BD%E5%B8%86%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60226d39cb9a7803:0x99dbb934b8437058!8m2!3d36.0718092!4d140.2065964!16s%2Fg%2F1v46_ghx!19sChIJA3iayzltImARWHBDuDS525k?authuser=0&hl=ja&rclk=1"
"保育園","なかや保育園","
〒312-0001 茨城県ひたちなか市佐和６１２−３","36.4478249","140.5252962","https://www.google.com/maps/place/%E3%81%AA%E3%81%8B%E3%82%84%E4%BF%9D%E8%82%B2%E5%9C%92/data=!4m7!3m6!1s0x60222897bd9ecaab:0x5b63595a4890494a!8m2!3d36.4478249!4d140.5252962!16s%2Fg%2F1tdft7l6!19sChIJq8qevZcoImARSkmQSFpZY1s?authuser=0&hl=ja&rclk=1"
